"species","date","geo_group","region","median","q1","q3"
"rainbowtrout",2022-11-01,"county","county_3",1.37,0.12,2.39
"salmon",2021-11-01,"county","county_1",1.14,0.12,2.43
"salmon",2022-01-01,"county","county_3",0.94,0.49,2.36
"salmon",2025-01-01,"county","county_2",1.48,0.26,2.03
"rainbowtrout",2022-02-01,"county","county_2",1.02,0.46,2.05
"salmon",2025-06-01,"county","county_2",0.78,0.19,1.54
"salmon",2021-12-01,"county","county_1",0.62,0.32,2.46
"salmon",2024-10-01,"county","county_3",0.55,0.27,2.3
"salmon",2024-08-01,"county","county_3",0.73,0.43,1.89
"salmon",2023-07-01,"county","county_3",0.57,0.3,2.42
"rainbowtrout",2025-02-01,"county","county_2",1.44,0.36,2.08
"rainbowtrout",2022-07-01,"county","county_1",0.88,0.12,2.03
"salmon",2022-02-01,"county","county_2",0.58,0.11,2.33
"salmon",2022-11-01,"county","county_2",0.58,0.3,2.14
"rainbowtrout",2024-09-01,"county","county_3",1.19,0.15,1.52
"rainbowtrout",2024-10-01,"county","county_3",0.9,0.31,2.03
"salmon",2025-05-01,"county","county_1",0.62,0.11,1.59
"salmon",2023-09-01,"county","county_2",0.81,0.47,1.87
"rainbowtrout",2021-06-01,"county","county_1",1.03,0.34,1.87
"rainbowtrout",2022-08-01,"county","county_2",0.96,0.13,2.19
"salmon",2022-08-01,"county","county_2",1.43,0.43,2.48
"salmon",2025-07-01,"county","county_2",1.26,0.11,1.83
"salmon",2025-12-01,"county","county_2",1.47,0.31,2.3
"salmon",2021-12-01,"county","county_2",0.94,0.29,1.62
"rainbowtrout",2023-09-01,"county","county_3",0.89,0.48,2.23
"rainbowtrout",2024-03-01,"county","county_1",1.13,0.35,1.58
"salmon",2024-06-01,"county","county_2",1.36,0.45,1.89
"salmon",2021-01-01,"county","county_3",0.54,0.35,2.25
"rainbowtrout",2021-12-01,"county","county_3",0.56,0.42,2.27
"rainbowtrout",2024-08-01,"county","county_2",0.6,0.38,1.75
"salmon",2024-03-01,"county","county_1",0.54,0.41,2.01
"rainbowtrout",2024-02-01,"county","county_1",0.55,0.38,1.56
"rainbowtrout",2021-01-01,"county","county_1",0.86,0.24,2.06
"rainbowtrout",2025-11-01,"county","county_2",0.54,0.11,2.48
"salmon",2022-10-01,"county","county_3",1.44,0.15,2.16
"salmon",2023-07-01,"county","county_1",0.88,0.44,2.06
"rainbowtrout",2023-12-01,"county","county_1",1.46,0.43,2.35
"rainbowtrout",2025-01-01,"county","county_2",0.98,0.33,2.49
"rainbowtrout",2024-02-01,"county","county_2",1.23,0.44,2.13
"rainbowtrout",2022-06-01,"county","county_1",1.14,0.49,1.86
"salmon",2023-10-01,"county","county_1",1.1,0.14,2.43
"salmon",2021-06-01,"county","county_2",1.28,0.45,1.61
"rainbowtrout",2023-10-01,"county","county_2",0.74,0.28,1.67
"salmon",2024-02-01,"county","county_1",0.93,0.47,1.66
"rainbowtrout",2023-03-01,"county","county_1",1.42,0.48,2.49
"salmon",2023-01-01,"county","county_1",0.87,0.43,2.22
"rainbowtrout",2024-12-01,"county","county_3",1.14,0.47,2.17
"salmon",2022-11-01,"county","county_1",1.11,0.27,2.02
"salmon",2024-11-01,"county","county_1",1.3,0.42,2.31
"rainbowtrout",2021-11-01,"county","county_3",0.97,0.46,2.31
"salmon",2025-09-01,"county","county_2",0.85,0.19,2.36
"salmon",2025-05-01,"county","county_3",0.66,0.11,1.69
"rainbowtrout",2024-08-01,"county","county_3",0.62,0.33,2.12
"salmon",2023-09-01,"county","county_1",0.56,0.14,2.17
"rainbowtrout",2025-01-01,"county","county_1",0.82,0.45,2.02
"salmon",2024-12-01,"county","county_2",0.66,0.47,1.71
"salmon",2023-02-01,"county","county_2",0.95,0.11,2.28
"rainbowtrout",2025-07-01,"county","county_1",0.51,0.48,1.53
"rainbowtrout",2025-12-01,"county","county_1",1.14,0.26,1.73
"salmon",2021-12-01,"county","county_3",0.74,0.22,1.63
"rainbowtrout",2024-02-01,"county","county_3",1.04,0.42,2.12
"salmon",2021-06-01,"county","county_3",0.72,0.34,2.35
"rainbowtrout",2021-10-01,"county","county_1",1.09,0.42,2.13
"rainbowtrout",2021-09-01,"county","county_3",0.91,0.36,1.76
"salmon",2021-07-01,"county","county_2",0.95,0.3,1.55
"salmon",2022-04-01,"county","county_3",1.06,0.29,1.94
"rainbowtrout",2021-02-01,"county","county_3",1.33,0.11,2.45
"rainbowtrout",2023-03-01,"county","county_2",0.57,0.29,2.44
"rainbowtrout",2024-12-01,"county","county_1",1.34,0.31,2.24
"rainbowtrout",2021-10-01,"county","county_2",0.78,0.12,2.42
"rainbowtrout",2022-11-01,"county","county_2",1.33,0.37,2.22
"salmon",2024-05-01,"county","county_2",1.35,0.41,2.45
"salmon",2023-02-01,"county","county_1",1.43,0.24,2.39
"rainbowtrout",2025-05-01,"county","county_1",1.34,0.16,2.41
"rainbowtrout",2024-06-01,"county","county_2",1.23,0.38,1.94
"rainbowtrout",2025-12-01,"county","county_2",0.56,0.31,1.86
"salmon",2025-06-01,"county","county_3",1.25,0.47,1.75
"rainbowtrout",2021-06-01,"county","county_3",1.43,0.24,2.28
"salmon",2023-05-01,"county","county_2",1.42,0.26,1.55
"salmon",2022-03-01,"county","county_1",1.33,0.22,2.4
"rainbowtrout",2023-11-01,"county","county_3",0.9,0.44,2.36
"salmon",2021-10-01,"county","county_1",1.45,0.28,2.48
"salmon",2022-12-01,"county","county_2",1.19,0.23,2.29
"salmon",2025-03-01,"county","county_2",1.04,0.3,1.9
"rainbowtrout",2022-09-01,"county","county_2",0.88,0.25,2.2
"salmon",2024-09-01,"county","county_3",1.49,0.42,1.6
"rainbowtrout",2022-08-01,"county","county_3",1.22,0.19,1.82
"salmon",2023-06-01,"county","county_3",0.6,0.38,1.92
"rainbowtrout",2023-04-01,"county","county_2",0.91,0.25,1.75
"salmon",2024-03-01,"county","county_2",1.33,0.43,1.58
"salmon",2021-02-01,"county","county_1",0.5,0.34,2.4
"rainbowtrout",2022-12-01,"county","county_2",1.21,0.3,1.7
"salmon",2025-12-01,"county","county_3",0.92,0.25,1.94
"salmon",2022-05-01,"county","county_3",1.31,0.41,1.78
"salmon",2025-02-01,"county","county_3",1.24,0.12,1.71
"salmon",2022-11-01,"county","county_3",1.44,0.15,1.78
"rainbowtrout",2022-04-01,"county","county_1",1.05,0.3,1.98
"rainbowtrout",2024-11-01,"county","county_3",1.22,0.41,2.5
"salmon",2024-10-01,"county","county_2",1.06,0.44,2.12
"rainbowtrout",2025-11-01,"county","county_3",0.75,0.38,2.31
"salmon",2025-10-01,"county","county_1",0.78,0.46,2.37
"salmon",2024-04-01,"county","county_2",1.02,0.48,2.48
"salmon",2022-07-01,"county","county_2",0.54,0.27,1.66
"rainbowtrout",2021-05-01,"county","county_2",1.16,0.15,1.89
"rainbowtrout",2023-02-01,"county","county_3",0.95,0.11,1.54
"rainbowtrout",2023-07-01,"county","county_1",1.35,0.11,1.76
"salmon",2023-10-01,"county","county_2",1.42,0.32,2
"salmon",2024-04-01,"county","county_1",1.43,0.35,1.85
"salmon",2023-10-01,"county","county_3",1.23,0.22,2.15
"rainbowtrout",2021-09-01,"county","county_1",0.83,0.19,1.84
"rainbowtrout",2025-10-01,"county","county_1",0.63,0.13,2.33
"rainbowtrout",2022-07-01,"county","county_3",1.44,0.37,2
"salmon",2021-10-01,"county","county_3",0.55,0.49,2.31
"rainbowtrout",2023-01-01,"county","county_2",1.47,0.24,1.74
"rainbowtrout",2021-02-01,"country","Country",1.4,0.35,1.92
"rainbowtrout",2025-10-01,"country","Country",0.86,0.17,1.96
"salmon",2022-06-01,"country","Country",0.78,0.23,2.46
"rainbowtrout",2021-12-01,"country","Country",0.69,0.48,2.48
"salmon",2025-11-01,"country","Country",1.5,0.22,1.77
"rainbowtrout",2024-01-01,"country","Country",0.95,0.41,1.56
"salmon",2023-05-01,"country","Country",1.14,0.36,2.18
"salmon",2023-01-01,"country","Country",0.97,0.22,1.71
"rainbowtrout",2023-11-01,"country","Country",0.65,0.38,2.39
"salmon",2022-11-01,"country","Country",1.27,0.25,2.05
"salmon",2022-04-01,"country","Country",0.68,0.22,2.36
"salmon",2023-07-01,"country","Country",0.94,0.12,2.32
"rainbowtrout",2022-08-01,"country","Country",1.34,0.18,1.78
"salmon",2024-06-01,"country","Country",0.62,0.37,1.85
"salmon",2025-01-01,"country","Country",0.52,0.13,2.11
"rainbowtrout",2021-01-01,"country","Country",0.57,0.21,1.87
"salmon",2021-05-01,"country","Country",1.46,0.12,2.29
"salmon",2023-11-01,"country","Country",0.98,0.21,1.68
"rainbowtrout",2024-08-01,"country","Country",0.7,0.48,1.54
"rainbowtrout",2022-05-01,"country","Country",1.02,0.41,2.02
"rainbowtrout",2022-02-01,"country","Country",1.24,0.14,2.36
"salmon",2023-12-01,"country","Country",0.79,0.24,2.41
"salmon",2025-06-01,"country","Country",0.91,0.35,2.38
"salmon",2025-07-01,"country","Country",1.18,0.46,1.54
"salmon",2024-02-01,"country","Country",0.74,0.32,1.85
"rainbowtrout",2024-03-01,"country","Country",0.66,0.31,1.97
"salmon",2022-08-01,"country","Country",0.71,0.44,1.91
"salmon",2022-09-01,"country","Country",0.95,0.17,1.96
"salmon",2022-05-01,"country","Country",0.52,0.25,2.19
"rainbowtrout",2023-05-01,"country","Country",1.03,0.39,2.37
"rainbowtrout",2025-02-01,"country","Country",1.27,0.34,1.74
"salmon",2024-03-01,"country","Country",1.06,0.16,1.56
"rainbowtrout",2023-10-01,"country","Country",1.42,0.47,2.21
"salmon",2022-03-01,"country","Country",1.17,0.19,1.7
"salmon",2024-09-01,"country","Country",0.98,0.13,1.81
"rainbowtrout",2025-03-01,"country","Country",0.79,0.19,1.98
"rainbowtrout",2025-11-01,"country","Country",1.47,0.31,1.74
"rainbowtrout",2022-01-01,"country","Country",1.28,0.21,2.02
"rainbowtrout",2025-08-01,"country","Country",1.21,0.22,1.89
"rainbowtrout",2021-04-01,"country","Country",0.97,0.45,2.25
"salmon",2021-09-01,"country","Country",0.75,0.21,2.25
"rainbowtrout",2023-08-01,"country","Country",0.97,0.17,2.1
"salmon",2025-04-01,"country","Country",1.23,0.17,1.85
"salmon",2024-05-01,"country","Country",1.04,0.44,1.56
"rainbowtrout",2021-11-01,"country","Country",0.54,0.38,1.8
"rainbowtrout",2021-08-01,"country","Country",1.22,0.2,2.45
"rainbowtrout",2024-06-01,"country","Country",0.52,0.14,2.13
"salmon",2024-10-01,"country","Country",1.47,0.48,2.12
"salmon",2021-03-01,"country","Country",1.35,0.42,2.27
"salmon",2022-12-01,"country","Country",0.68,0.29,2.11
"salmon",2024-12-01,"country","Country",1.17,0.15,2.34
"rainbowtrout",2021-06-01,"country","Country",1.02,0.3,1.81
"rainbowtrout",2025-05-01,"country","Country",1.1,0.28,2.12
"salmon",2021-04-01,"country","Country",0.54,0.36,1.79
"rainbowtrout",2022-07-01,"country","Country",0.51,0.21,1.7
"rainbowtrout",2025-12-01,"country","Country",1.5,0.38,2.08
"rainbowtrout",2021-10-01,"country","Country",1.43,0.29,2.4
"salmon",2025-05-01,"country","Country",0.64,0.28,2.02
"rainbowtrout",2022-12-01,"country","Country",0.83,0.21,1.8
"salmon",2024-01-01,"country","Country",1.3,0.3,1.52
"salmon",2023-03-01,"country","Country",0.8,0.43,1.53
"rainbowtrout",2024-09-01,"country","Country",0.89,0.16,2.45
"rainbowtrout",2022-10-01,"country","Country",1.44,0.22,2.43
"rainbowtrout",2024-11-01,"country","Country",1.32,0.13,1.51
"rainbowtrout",2023-06-01,"country","Country",0.69,0.42,1.67
"salmon",2024-04-01,"country","Country",0.87,0.11,1.57
"salmon",2025-10-01,"country","Country",0.63,0.13,1.93
"rainbowtrout",2025-06-01,"country","Country",1.02,0.11,2.23
"rainbowtrout",2023-04-01,"country","Country",1.2,0.37,1.68
"rainbowtrout",2021-07-01,"country","Country",1.22,0.31,2.46
"salmon",2025-08-01,"country","Country",1.31,0.37,1.66
"rainbowtrout",2025-09-01,"country","Country",0.93,0.29,2.07
"salmon",2021-07-01,"country","Country",0.82,0.42,1.73
"salmon",2023-09-01,"country","Country",0.97,0.3,1.65
"rainbowtrout",2023-07-01,"country","Country",1.1,0.4,2.42
"rainbowtrout",2023-09-01,"country","Country",0.71,0.49,1.97
"rainbowtrout",2023-01-01,"country","Country",0.63,0.45,2.3
"salmon",2024-07-01,"country","Country",0.78,0.34,2.05
"rainbowtrout",2021-09-01,"country","Country",1.49,0.41,2.38
"rainbowtrout",2024-05-01,"country","Country",1.48,0.19,1.98
"salmon",2021-11-01,"country","Country",1.28,0.26,1.9
"rainbowtrout",2025-01-01,"country","Country",0.65,0.19,2.06
"rainbowtrout",2024-04-01,"country","Country",1.21,0.4,2.02
"rainbowtrout",2022-04-01,"country","Country",1.21,0.34,1.88
"salmon",2022-07-01,"country","Country",1.15,0.24,1.54
"salmon",2021-08-01,"country","Country",1.36,0.27,2.2
"rainbowtrout",2024-02-01,"country","Country",0.72,0.12,1.62
"salmon",2022-10-01,"country","Country",0.96,0.22,2.35
"rainbowtrout",2022-03-01,"country","Country",0.84,0.44,1.57
"salmon",2022-02-01,"country","Country",0.53,0.13,2.21
"salmon",2023-02-01,"country","Country",0.88,0.39,1.52
"rainbowtrout",2023-12-01,"country","Country",0.84,0.36,2.28
"salmon",2025-02-01,"country","Country",0.94,0.27,2.42
"salmon",2025-03-01,"country","Country",0.91,0.25,1.68
"rainbowtrout",2022-09-01,"country","Country",0.6,0.26,2.37
"salmon",2021-10-01,"country","Country",1.34,0.24,2.01
"rainbowtrout",2021-05-01,"country","Country",0.95,0.31,1.53
"rainbowtrout",2024-10-01,"country","Country",1.27,0.2,1.95
"rainbowtrout",2021-03-01,"country","Country",1.04,0.42,1.78
"salmon",2023-10-01,"country","Country",0.65,0.14,1.61
"rainbowtrout",2024-12-01,"country","Country",0.85,0.19,2.48
"rainbowtrout",2023-03-01,"country","Country",1,0.48,1.85
"salmon",2023-06-01,"country","Country",1.29,0.27,1.82
"salmon",2023-08-01,"country","Country",0.86,0.49,1.64
"salmon",2025-09-01,"country","Country",1.29,0.14,1.52
"rainbowtrout",2025-07-01,"country","Country",0.59,0.33,1.85
"rainbowtrout",2024-07-01,"country","Country",1.01,0.46,1.69
"rainbowtrout",2023-02-01,"country","Country",0.89,0.33,1.55
"salmon",2022-01-01,"country","Country",1.29,0.45,2.15
"rainbowtrout",2025-04-01,"country","Country",1.05,0.49,1.8
"salmon",2021-02-01,"country","Country",1.39,0.37,1.93
"salmon",2025-12-01,"country","Country",0.72,0.33,1.55
"salmon",2024-11-01,"country","Country",0.57,0.36,2.48
"salmon",2021-12-01,"country","Country",1.07,0.48,1.7
"salmon",2024-08-01,"country","Country",1.12,0.16,1.98
"salmon",2021-01-01,"country","Country",1.22,0.33,2.45
"rainbowtrout",2022-06-01,"country","Country",0.72,0.36,2.03
"salmon",2021-06-01,"country","Country",0.77,0.4,1.73
"rainbowtrout",2022-11-01,"country","Country",1.13,0.1,1.55
"salmon",2023-04-01,"country","Country",1.4,0.28,1.58
